# {"t_start": 1551811845.827794, "env_id": "Reacher-v2"} 
r,l,t
-21.110892,50,88.034382
-29.389221,50,88.090701
-33.689159,50,88.14764
-33.103133,50,88.204697
-28.065274,50,88.261303
-27.606246,50,88.318245
-32.408475,50,89.903237
-24.242082,50,89.968453
-22.139332,50,90.033559
-22.946119,50,90.096563
-23.196536,50,90.146954
-24.116134,50,90.201438
-25.549311,50,90.257535
-26.941561,50,90.313637
-26.686606,50,90.356815
-23.143978,50,90.400062
-23.849472,50,90.447282
-25.299473,50,90.504627
-25.146807,50,90.554777
-19.457808,50,90.608016
-29.129239,50,90.661481
-29.73371,50,90.712198
-21.126671,50,90.767721
-25.438056,50,90.818547
-22.97002,50,90.869874
-24.52109,50,90.922632
-38.691482,50,90.980974
-35.587727,50,91.037518
-16.731453,50,91.092383
-19.631558,50,91.141482
-30.721233,50,91.19141
-27.812918,50,91.245048
-21.599394,50,91.301997
-28.250555,50,91.357216
-30.037033,50,91.413178
-23.279985,50,91.468978
-19.684785,50,91.521991
-23.27387,50,91.577575
-20.273484,50,91.631928
-22.016321,50,91.688149
-21.674029,50,91.74278
-26.35611,50,91.797035
-27.863941,50,91.854582
-25.846127,50,91.910552
-23.906366,50,91.963451
-29.217434,50,92.012109
-25.61586,50,92.067035
-22.695314,50,93.704649
-29.780019,50,93.770174
-25.07827,50,93.836324
-22.420394,50,93.901894
-20.196322,50,93.967794
-20.262896,50,94.033521
-20.274564,50,94.0992
-24.657717,50,94.164862
-23.772787,50,94.230662
-26.611242,50,94.296118
-19.544066,50,94.361389
-21.171609,50,94.426588
-21.003906,50,94.490571
-21.985862,50,94.539249
-24.438526,50,94.596206
-19.936152,50,94.645435
-16.927815,50,94.698573
-26.823755,50,94.746656
-21.506546,50,94.80028
-21.40928,50,94.855892
-20.948601,50,94.908381
-28.098528,50,94.963446
-21.333215,50,95.017163
-23.810036,50,95.070459
-31.702776,50,95.121367
-25.655337,50,95.175693
-23.152282,50,95.232106
-21.152053,50,95.287582
-24.433501,50,95.344811
-25.79656,50,95.400477
-19.849546,50,95.455557
-29.946253,50,95.507567
-18.680194,50,95.557437
-27.429076,50,95.614548
-19.097357,50,95.669704
-26.16383,50,95.724628
-38.552123,50,95.777457
-18.90216,50,95.834366
-22.296751,50,95.891529
-22.265566,50,95.945162
-22.323571,50,96.00112
-25.819761,50,97.541834
-21.396845,50,97.601151
-24.058002,50,97.656767
-18.835063,50,97.7131
-22.318279,50,97.768681
-19.213557,50,97.824109
-26.939594,50,97.881441
-25.301567,50,97.933882
-25.665746,50,97.983979
-21.357522,50,98.033389
-22.185817,50,98.082327
-27.087103,50,98.128309
-23.0228,50,98.181302
-26.831853,50,98.232735
-28.21715,50,98.280112
-26.170195,50,98.327612
-21.364032,50,98.377501
-19.434925,50,98.426535
-25.154626,50,98.470033
-22.0177,50,98.517524
-27.425673,50,98.574552
-20.0736,50,98.63168
-25.050782,50,98.68859
-19.290729,50,98.748565
-22.074756,50,98.815173
-19.906623,50,98.881911
-24.063751,50,98.948502
-25.676737,50,99.014892
-21.086643,50,99.081315
-17.455304,50,99.147845
-27.759579,50,99.214334
-24.210288,50,99.280997
-21.411583,50,99.347646
-22.601578,50,99.414132
-20.09747,50,99.480975
-18.201327,50,99.547451
-20.693936,50,99.614304
